spreadsheetId,accountId,month,folder_id,currentPeriodTotalCost
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1I2Pl_gAsy_XhbIQ30lCWr3WH_adQR_Dd3KTVYLNaj1E,9707 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
